,StockCode,date,price
110,600919.SH,20200526,5.86
111,600926.SH,20200526,8.72
112,600958.SH,20200526,9.26
113,600703.SH,20200525,23.79
114,600436.SH,20200526,148.41
115,601009.SH,20200526,7.66
116,601108.SH,20200526,9.27
117,601169.SH,20200526,4.84
118,601336.SH,20200526,43.1
119,601377.SH,20200526,5.72
120,601398.SH,20200526,5.08
121,002958.SZ,20200526,4.31
122,300003.SZ,20200526,38.34
123,601166.SH,20200527,15.95
124,601229.SH,20200527,8.05
125,601236.SH,20200527,19.37
126,601318.SH,20200527,70.65
127,002841.SZ,20200525,80.35
128,002916.SZ,20200525,157.3
129,300142.SZ,20200512,42.4
130,603501.SH,20200514,207.02
131,002945.SZ,20200508,14.57
132,300142.SZ,20200514,42.58
133,600535.SH,20200508,14.91
134,600703.SH,20200514,24.21
135,600809.SH,20200514,116.73
136,600816.SH,20200514,2.5
137,600016.SH,20200514,5.77
138,600867.SH,20200512,13.42
139,002304.SZ,20200512,96.81
140,601555.SH,20200519,7.73
141,601788.SH,20200519,11.13
142,601838.SH,20200519,7.81
143,601988.SH,20200519,3.46
144,002736.SZ,20200519,10.82
145,600703.SH,20200520,26.04
146,000166.SZ,20200519,4.48
147,002841.SZ,20200519,80.2
148,002916.SZ,20200519,171.31
149,601066.SH,20200518,33.99
150,601939.SH,20200518,6.32
151,002304.SZ,20200518,100.56
152,000413.SZ,20200518,2.78
153,002007.SZ,20200518,38.05
154,600999.SH,20200518,17.47
155,601162.SH,20200518,5.83
156,601688.SH,20200518,17.66
157,002736.SZ,20200518,10.79
158,002773.SZ,20200518,37.27
159,600196.SH,20200518,32.92
160,603259.SH,20200519,111.22
161,000895.SZ,20200522,39.18
162,600390.SH,20200522,6.79
163,600867.SH,20200521,14.8
164,600999.SH,20200521,17.13
165,601162.SH,20200521,5.92
166,601138.SH,20200522,13.26
167,601211.SH,20200522,15.71
168,002945.SZ,20200522,13.54
169,601319.SH,20200522,6.12
170,601818.SH,20200522,3.64
171,000423.SZ,20200522,33.75
172,000538.SZ,20200522,85.03
